0;Nome;0;Empresa;Departamento;0.00
1;Bryar L. Lott;47;Yahoo;Payroll;2255.00
5;Martina S. Clark;55;Lavasoft;Payroll;7993.00
11;Bell E. Larsen;64;Microsoft;Finances;3968.00
12;Kai I. Conrad;43;Google;Finances;3137.00
16;Carson K. Fuller;26;Lycos;Media Relations;3880.00
17;Rosalyn I. Fox;64;Sibelius;Finances;5146.00
20;Beverly U. Garcia;53;Cakewalk;Finances;1806.00
38;Avye C. Jefferson;26;Microsoft;Accounting;5592.00
51;Leslie S. Tyson;26;Microsoft;Legal Department;8068.00
82;India W. Ward;55;Lycos;Advertising;6174.00
91;Gray I. Britt;21;Google;Asset Management;5506.00
94;Keely Q. Velasquez;29;Google;Legal Department;6184.00
105;Chester B. Christian;56;Microsoft;Human Resources;5678.00
113;Olga Y. Dean;40;Cakewalk;Customer Service;7781.00
121;Belle C. Davidson;65;Chami;Research and Development;6659.00
127;Adena L. Pickett;26;Borland;Human Resources;1363.00
129;Colin X. Osborn;50;Adobe;Media Relations;5162.00
131;Akeem U. Gates;62;Finale;Media Relations;4948.00
132;Gwendolyn E. Whitehead;26;Altavista;Quality Assurance;5101.00
133;Murphy D. Hickman;49;Google;Human Resources;7468.00
139;Nita Y. Mcleod;21;Borland;Customer Relations;4461.00
142;Jason K. Gillespie;70;Chami;Human Resources;4900.00
147;Jayme C. Fry;57;Microsoft;Tech Support;3019.00
150;Brady S. Cantu;59;Adobe;Payroll;1212.00
161;Hammett N. Gordon;43;Microsoft;Public Relations;2646.00
162;Ocean J. Lindsey;70;Yahoo;Quality Assurance;1534.00
172;Nolan D. Bentley;58;Macromedia;Tech Support;8183.00
176;Reece V. Pearson;56;Adobe;Customer Service;9809.00
179;Marsden I. Eaton;52;Microsoft;Public Relations;8750.00
184;Sierra M. Pittman;18;Google;Human Resources;1778.00
186;Finn B. Stewart;25;Adobe;Asset Management;3021.00
192;Colorado R. Harrington;57;Adobe;Sales and Marketing;9150.00
196;Anika Q. Levy;46;Sibelius;Human Resources;7319.00
204;Rama X. Pearson;37;Lycos;Human Resources;6473.00
205;Hillary E. Wooten;44;Adobe;Sales and Marketing;2387.00
209;Raven M. Harrington;40;Yahoo;Tech Support;8142.00
211;Cara T. Romero;42;Sibelius;Public Relations;1318.00
214;Alma B. Pitts;69;Adobe;Research and Development;8937.00
217;Tanya C. Luna;69;Sibelius;Customer Relations;3682.00
218;Louis G. Clarke;31;Sibelius;Media Relations;6216.00
221;Kelly D. Oliver;34;Microsoft;Public Relations;2059.00
228;Sonya E. Whitaker;55;Apple Systems;Media Relations;2239.00
230;Upton H. Morris;52;Yahoo;Asset Management;9175.00
232;Ifeoma K. Alvarez;53;Yahoo;Public Relations;6433.00
234;Aileen F. Flynn;65;Cakewalk;Payroll;4154.00
240;Galvin O. Sharp;28;Apple Systems;Sales and Marketing;8057.00
244;Keaton U. Shelton;25;Apple Systems;Public Relations;9856.00
249;Barbara K. May;70;Yahoo;Public Relations;6334.00
273;Hasad L. Blackwell;20;Google;Sales and Marketing;9225.00
274;Carly W. Beach;60;Borland;Payroll;9046.00
276;Kameko X. Little;37;Lavasoft;Tech Support;8342.00
281;Dai F. Holland;68;Sibelius;Finances;2991.00
284;Chase H. Tate;50;Yahoo;Payroll;9028.00
308;Benedict Y. Moran;52;Cakewalk;Human Resources;5953.00
315;Lacey U. Hammond;52;Macromedia;Sales and Marketing;2976.00
317;Dylan D. Snow;28;Microsoft;Public Relations;1444.00
327;Tobias O. Cherry;65;Borland;Sales and Marketing;1239.00
342;Jaime K. Riley;36;Lycos;Accounting;7824.00
343;Callie J. Lott;40;Cakewalk;Tech Support;7296.00
349;Faith F. Mccall;18;Finale;Accounting;5225.00
353;Vivien I. Snyder;64;Yahoo;Quality Assurance;2087.00
375;Price X. Chapman;25;Lavasoft;Public Relations;4387.00
383;Quinn L. Knowles;37;Finale;Customer Service;6168.00
388;Malik H. Floyd;28;Adobe;Sales and Marketing;6220.00
393;Myra C. Boyd;34;Sibelius;Media Relations;7784.00
394;Aristotle R. Acosta;61;Sibelius;Public Relations;5248.00
397;Rowan S. Travis;53;Macromedia;Tech Support;9853.00
398;Callum U. Anderson;43;Lavasoft;Customer Relations;6494.00
402;McKenzie Q. Fitzpatrick;55;Adobe;Finances;8569.00
410;Olga D. Charles;25;Borland;Payroll;6164.00
411;Molly I. Farmer;52;Yahoo;Human Resources;2890.00
432;Anjolie K. Vance;25;Macromedia;Customer Relations;1374.00
436;Ocean W. Waller;56;Adobe;Asset Management;6588.00
438;Jordan Q. Delaney;52;Yahoo;Legal Department;9003.00
440;Illiana O. Bonner;55;Macromedia;Customer Relations;6257.00
442;Jared I. Boyle;57;Google;Legal Department;3931.00
446;Iliana O. Golden;58;Apple Systems;Payroll;3408.00
465;Wallace E. Sharp;19;Google;Advertising;8697.00
468;Adara L. Callahan;55;Altavista;Sales and Marketing;3657.00
473;Troy X. Juarez;27;Altavista;Tech Support;1350.00
482;Irene V. Winters;32;Cakewalk;Sales and Marketing;6165.00
483;Zeus V. Mccarthy;18;Microsoft;Tech Support;6019.00
491;Sydnee E. Fuller;26;Lycos;Advertising;6681.00
500;Maisie Q. Dixon;55;Google;Finances;8849.00
513;Rahim T. Watson;70;Yahoo;Customer Service;5023.00
521;Harper X. Parsons;27;Sibelius;Research and Development;8547.00
525;Jennifer P. Fischer;67;Yahoo;Human Resources;5206.00
534;Fiona X. Avila;70;Chami;Quality Assurance;7873.00
557;Wesley U. Hurley;50;Lycos;Customer Relations;7258.00
558;Ginger H. Jordan;30;Lycos;Research and Development;9456.00
559;Dominic L. Robles;58;Lycos;Research and Development;5355.00
565;Jin H. Frye;27;Apple Systems;Asset Management;9329.00
566;Kiayada R. Washington;70;Lavasoft;Public Relations;2651.00
568;Ferdinand S. Blankenship;59;Macromedia;Public Relations;1589.00
569;Macy S. Herring;35;Yahoo;Research and Development;4044.00
570;Abbot U. Newman;35;Apple Systems;Human Resources;5322.00
581;Skyler X. Collins;33;Altavista;Human Resources;4576.00
582;Paki U. Castillo;42;Apple Systems;Quality Assurance;9426.00
